method,page,para_index,source,text
text,1,0,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,Nestlé in society Creating Shared Value and meeting our commitments 2014 Corporate Governance Report 2014 Compensation Report 2014 Financial Statements 2014 CONTENTS 2 Letter to our shareholders 6 Enhancing lives and well-being 8 The strategy 14 The highlights 26 The future 34 Our brands 42 Financial review 43 Leading positions in dynamic categories 44 Business review 55 Principal risks and uncertainties 56 Geographical data: factories 58 Corporate Governance and Compliance 59 Corporate Governance 60 Board of Directors of Nestlé S.A. 62 Executive Board of Nestlé S.A. 63 Compliance 64 Shareholder information Accompanying reports Nestlé in society Creating Shared Value and meeting our commitments 2014 Corporate Governance Report 2014 Compensation Report 2014 Financial Statements 2014
text,2,1,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"NESTLÉ IN NUMBERS Group sales (in CHF) 91.6 billion Trading operating profit (in CHF) 14.0 billion Employees 339 000 Countries we operate in 197 Where we sell (in CHF billion) Our top 10 Markets plus Switzerland (in CHF billion) AMERICAS 39.4 ASIA, OCEANIA"
text,2,2,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,26.3 EUROPE 25.9 23.5 5.5 3.3 3.0 6.6 5.1 3.0 2.5 2.1 1.6 2.0
text,3,0,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,NESTLÉ IN SOCIETY 98% of our children's products met all of the Nestlé Nutritional Foundation criteria (a) for children at the end of 2014. 73 Our Healthy Kids Global Programme reached more than 7.6 million children in 73 countries in 2014.
text,3,0,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,Top 3 We are ranked one of the top 3 global food and beverage manufacturers in the current Access to Nutrition Index. 73% We audited 8700 of our 10 000 Tier 1 suppliers and found 73% fully complied with our Supplier Code.
text,3,0,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"FTSE4Good We remain the only infant formula manufacturer included in FTSE's responsible investment index, based on our performance in human rights, labour rights, responsible marketing of breast-milk substitutes and more."
text,3,0,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"Leader We were ranked number one by the charity Oxfam in its 2014 scorecard, Behind the Brands."
text,3,0,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"The survey scored 10 food and beverage companies on their efforts to improve food security. 38% Volume of high-priority categories of raw material that are traceable back to the primary source. 52% Water discharges per tonne of product cut by 52% since 2005. 72 factories achieving zero waste for disposal in 2014. 12 458 farmers sensitised on child labour issues in 2014. 11 832 Nestlé Needs YOUth helped 11 832 young people in Europe find work or apprenticeship opportunities in 2014. 26% Energy consumption per tonne of product cut by 26% since 2005. (a) The Nestlé Nutritional Foundation criteria are based on nutrition science and public health dietary recommendations, such as those of the World Health Organization (WHO), the Institute of Medicine and other global or local authorities."
text,3,1,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"Our products are evaluated against these criteria, using the Nestlé Nutritional Profiling System, which determines their nutritional value and whether they achieve the Nestlé Nutritional Foundation status."
text,4,0,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,KEY FIGURES (CONSOLIDATED) In millions of CHF (except for data per share and employees) 2013 2014 Results Sales 92 158 91 612 Trading operating profit 14 047 14 019 as % of sales 15.2% 15.3% Profit for the period attributable to shareholders of the parent (Net profit) 10 015 14 456 as % of sales 10.9% 15.8% Balance sheet and Cash flow statement Equity attributable to shareholders of the parent 62 575 70 130 Net financial debt 14 690 12 325 Ratio of net financial debt to equity (gearing) 23.5% 17.6% Operating cash flow 14 992 14 700 as % of net financial debt 102.1% 119.3% Free cash flow (a) 10 486 14 137 Capital expenditure 4 928 3 914 as % of sales 5.3% 4.3% Data per share Weighted average number of shares outstanding (in millions of units) 3 191 3 188 Basic earnings per share CHF 3.14 4.54 Underlying earnings per share (b) CHF 3.50 3.44 Dividend as proposed by the Board of Directors of Nestlé S.A.
text,4,1,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"CHF 2.15 2.20 Market capitalisation, end December 208 279 231 136 Number of employees (in thousands) 333 339 (a) Operating cash flow less capital expenditure, expenditure on intangible assets, investments (net of divestments) in associates and joint ventures, and other investing cash flows. (b) Profit per share for the year attributable to shareholders of the parent before impairments, restructuring costs, results on disposals and significant one-off items."
text,4,1,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,The tax impact from the adjusted items is also adjusted for.
text,5,0,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"Dear fellow shareholder, The business environment was again marked by great uncertainty in 2014. Disruptive socio-economic and political change continued to affect growth in many parts of the world."
text,5,0,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"In the emerging markets, economic volatility worsened as growth rates slowed and currencies weakened. In the developed markets, deflationary pressures and soft consumer demand resulted in a continued challenging trading environment."
text,5,0,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"In the face of such uncertainty it was more important than ever to stay the course and remain loyal to our strategy, driving short-term performance while ensuring we made the right decisions to deliver our long-term goals."
text,5,0,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"We took decisive steps to further our ambition to be the world's recognised leading Nutrition, Health and Wellness company, trusted by all stakeholders, while again delivering financial results in 2014 that outperformed the market."
text,5,0,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"Sales were CHF 91.6 billion, with organic growth of 4.5%, composed of real internal growth of 2.3% and pricing of 2.2%."
text,5,0,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"The Group's trading operating profit was CHF 14.0 billion and the margin increased by 10 basis points to 15.3%, up 30 basis points in constant currencies."
text,5,0,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,This performance was achieved whilst we again increased consumer facing marketing support for our brands.
text,5,1,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,The net profit rose to CHF 14.5 billion. The CHF 4.4 billion increase in net profit also reflects the profit realised on the disposal of part of the stake in L'Oréal and the revaluation gain on the 50% of Galderma already held when the Group brought its ownership from 50% to 100% (see below).
text,5,1,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"Earnings per share were CHF 4.54, up 44.6%. Underlying earnings per share were up 4.4% in constant currencies."
text,5,1,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"The Group's operating cash flow remained strong at CHF 14.7 billion. In view of this performance and the company's strong financial position, the Board is proposing a dividend of CHF 2.20 per share up from CHF 2.15 last year."
text,5,1,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"Through continuous innovation and renovation of our food and beverages portfolio we are able to offer people healthier and tastier choices at every stage of their life, at any time of the day."
text,5,2,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"Science-based innovation enables us to enhance the quality of people's diets, using our knowledge and our research and development capability to make a positive contribution to society."
text,5,2,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"Wherever you are in the world, we have safe, nutritious products to help you care for yourself and your family."
text,5,2,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"A few years ago, we expanded the boundaries of Nutrition, Health and Wellness with the creation of Nestlé Health Science, motivated by the opportunity to forge a major therapeutic role for nutrition in the management of health."
text,5,2,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"In line with this broadened strategy, in 2014 the Board approved"
text,5,3,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"the sale of 48.5 million L'Oréal shares to L'Oréal for cancellation. Part of the proceeds were used for the acquisition of the 50% stake in our joint venture Galderma from L'Oréal, bringing our ownership of Galderma to 100%."
text,5,3,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"Galderma formed the foundation of a new Nestlé subsidiary, Nestlé Skin Health. Its goal is to be recognised as the leading company in skin health, offering science-based solutions to protect, nourish and enhance skin, and where needed to treat, correct and restore damaged skin over the course of people's lives."
text,5,3,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"Nestlé Skin Health provides prescription drugs, self-medication, therapeutic skin care and aesthetic and corrective medicine, allowing us to compete in the growing and promising multi-billion global skincare market."
text,5,3,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,Nestlé Skin Health was further strengthened by the acquisition of the full rights to commercialise several key aesthetic dermatology products in the United States and Canada.
text,5,3,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"These developments ensure that, building on the strong foundations of our food and beverages business and guided increasingly by science, we can further expand our portfolio to provide promising platforms for future growth in line with our strategy of Nutrition, Health and Wellness."
text,5,3,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"At the same time, we continue the drive to ensure our company is organised efficiently and effectively to deliver continuous profitable growth over the long term."
text,5,3,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"With this objective in mind we made some key decisions, adapting our organisational structure to better prepare ourselves today to meet the challenges of tomorrow."
text,5,3,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"While our company continues to benefit from its decentralised structure, allowing key decisions to be made as close as possible to consumers, there is still an important opportunity to better leverage our scale."
text,5,4,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"That is why in 2014 we set up Nestlé Business Excellence at Executive Board Level, combining GLOBE (Nestlé's Global Business Excellence function) with Nestlé Business Services (our shared operation for transactional services around the world) and Nestlé Continuous Excellence (our continuous improvement and LEAN programme)."
text,5,4,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"Through a focus on three areas: Simplifying, Standardising and Sharing, Nestlé Business Excellence will allow us to decrease structural costs and operational expenses, freeing up resources to support growth."
text,5,4,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"This will also allow our markets to keep a sharp focus on generating demand. We have integrated the Maghreb, the Middle East, the North East Africa region, Turkey and Israel into Zone Europe to form Zone EMENA (Europe, Middle East and North Africa)."
text,5,4,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"This balances the different consumer dynamics and opportunities in each geography. Additionally it allows a sharper focus in Zone Asia, Oceania and Africa, a fast-growing part"
text,7,0,data/raw/Nestle_2014_auto-paragraph-parsing.pdf,"of the world where three quarters of the global population live, enabling us to dedicate more attention to countries and regions which are highly complex but have huge potential."
