company,paragraph
Unilever_2014_1,In 2014 Unilever launched a newly developed packaging technology for Dove Body Wash bottles that uses 15% less plastic. Projected cost savings for the whole portfolio are â‚¬50 million. This is another substantial step towards the USLP target of halving Unileverâ€™s waste footprint by 2020.
Unilever_2014_2,"The MuCellÂ® Technology for Extrusion Blow Moulding was created in partnership with two packaging suppliers â€“ ALPLA and MuCell Extrusion. By using gas-injection to create gas bubbles in the middle layer of the bottle wall, it reduces the density of the bottle and the amount of plastic required."
Unilever_2014_3,"The technology represents a breakthrough for Unilever and the industry. With up to 59 million Dove Body Wash bottles sold across Europe, the new technology will save approximately 180 tonnes of plastic a year overall. A full roll-out across every Unilever product and packaging format could save up to 27,000 tonnes of plastic per year."
Unilever_2014_4,"Unilever has waived exclusivity rights from 1 January 2015, so that other manufacturers can also use the technology."
Unilever_2014_5,"Our clear Purpose helps us to remain distinct in the eyes of consumers, retailers and suppliers."
Unilever_2014_6,It also means we can set an ambitious Vision â€“ to double the size of the business whilst reducing our environmental footprint and increasing our positive social impact.
Unilever_2014_7,"To meet our growth ambition we invest in people whose talent will help us win through our brands and innovation, unrivalled execution in the market place and a relentless focus on continuous improvement for greater efficiency."
Unilever_2014_8,"Our environmental and social ambitions are driven through the Unilever Sustainable Living Plan (USLP), which has economic benefits and operates across all our brands, markets and our entire value chain."
Unilever_2014_9,"Even when markets are tough we cannot ignore sustainability. If we did, this would diminish the future resilience of Unilever for its long-term shareholders."
Unilever_2014_10,We would miss out on the growing consumer preference for goods that do not damage the environment or exploit people.
Unilever_2014_11,"Our entire business would rely on increasingly rare and expensive raw materials, pushing up our costs. Without more efficient use of energy our production costs would increase while we would miss considerable savings from more sustainable packaging and less waste."
Unilever_2014_12,"We would also risk the disapproval of governments, regulators and NGOs, and our brands â€“ Unileverâ€™s crown jewels â€“ could suffer reputational damage, representing serious economic loss to the business."
Unilever_2014_13,Thats why sustainability is at the heart of everything we do to ensure we have a viable long-term business that is attractive to investors.
Unilever_2014_14,Tough economic and financial headwinds with continued competitive intensity made 2014 one of the most challenging years that the industry and Unilever have faced for some time. A slowdown in the growth of emerging markets proved a testing environment while consumers in developed markets continued to show caution. Volatile currencies were a further negative.
Unilever_2014_15,"However, Unilever's business model and strategy proved robust, delivering a competitive performance with underlying sales growth ahead of the market and solid margin expansion. Our growth model is based on a leaner, more agile Unilever and consistency of delivery in this more volatile market is key. The Boards remain convinced that a clear, purpose-driven business model is the best way for Unilever to continue generating sustainable, long-term returns for all stakeholders, including our shareholders, as proved by a year of strong, dependable cash flow and steadily increasing dividends. The full year dividend paid in 2014 rose to â‚¬1.12, a 7% increase on 2013."
Unilever_2014_16,"Investing in people and in innovation is crucial in this tough environment. To that end, the Boards were pleased to spend time at Unileverâ€™s new state-of-the-art training facility in Singapore, and to see first-hand the high-quality innovations being developed for the Refreshment category at Unileverâ€™s global R&D laboratory in Colworth, UK."
Unilever_2014_17,The volatile currency environment made our review of the Group's treasury operations particularly pertinent. The Boards also spent time assessing the quality of talent management and Unileverâ€™s competitive environment. Broad exposure to senior managers in 2014 allowed the Directors to gain a deeper understanding of the business and helped in the wider strategy discussions.
Unilever_2014_18,"The Boards held in-depth discussions with management on strategy and portfolio development with particular attention to changing market dynamics especially in emerging markets. Despite the short-term challenges, the Boards believe the growth story in these markets remains intact."
Unilever_2014_19,The Boards also reviewed the progress made under the Unilever Sustainable Living Plan (USLP). The Directors are confident that the USLP remains hugely relevant in addressing todayâ€™s global challenges and will continue to be a long-term driver of profitable growth for Unilever.
Unilever_2014_20,"We continue to work on succession planning for both the Boards and management, and thorough processes are in place."
Unilever_2014_21,"Our Directors bring complementary and relevant skills to the Boards. In addition to wide global experience, these skills include expertise on finance and accounting, consumer markets, science and technology, customers and marketing as well as government and legal experience."
Unilever_2014_22,"I'm delighted that Feike Sijbesma has joined the Boards with effect from 1 November 2014. Feike, who has a wealth of experience as a sustainable business leader and in finance, food and nutrition, has already added considerably to the Boardsâ€™ discussions."
Unilever_2014_23,Over 40% of our Non-Executive Directors are now women. This is not surprising for a Group that has long understood the importance of diversity within the workforce and wider value chain. The progress made in employee diversity over recent years has been among the best in our sector and led to widespread external recognition.
Unilever_2014_24,Our shareholders appointed KPMG as our new auditor at the AGMs in May 2014 and a smooth and well managed transition has been completed
Unilever_2014_25,"Our Board evaluation in 2014 was externally facilitated and the results were discussed at the November 2014 Board meeting. The Boards continue to function well with good leadership and competent and engaged members. Good progress has been made on the actions agreed in previous evaluations. The actions agreed by the Boards in the 2014 evaluation included the continued focus on overall strategy, portfolio management, and succession and induction planning."
Unilever_2014_26,"In May 2014 we bought out certain third party rights that were convertible in 2038 into over 70 million PLC ordinary shares. This simplified Unilever's capital structure and enhanced core earnings per share. In addition, in 2014 we rolled out a new employee share scheme to align our employees’ interests with those of shareholders."
Unilever_2014_27,"Unilever values open, constructive and effective communication with shareholders. In 2014, I again met with principal shareholders in Europe and the US. Together with management, we explained our strategy to shareholders through meetings, conferences and at our annual investor event."
Unilever_2014_28,"In line with the focus on simplification in the business, the Boards have decided to simplify the 2015 AGMs. We will revert to holding the NV and PLC AGMs on consecutive days and will host our AGMs at Unilever offices in the Netherlands and the UK. More information can be found within the NV and PLC AGM Notices which will be published on 17 March 2015."
Unilever_2014_29,"The Boards’ objective is to meet high standards of disclosure and we consider this Annual Report and Accounts to provide a fair, balanced and understandable account of Unilever’s year in 2014 with the information required to assess performance, business model and strategy."
Unilever_2014_30,This 2014 Annual Report and Accounts is published in a two-part format: a stand alone Strategic Report and a separate Governance and Financial Report.
Unilever_2014_31,"Among many other things, this Strategic Report explains how Unilever fulfils its core Purpose of making sustainable living commonplace for consumers, society and people and how that delivers sustainable value for shareholders."
Unilever_2014_32,"Finally, on behalf of the Boards, I would like to thank all Unilever’s 172,000 employees for their hard work in delivering good results in a challenging environment."
Unilever_2014_33,"Unilever's strategic commitment to emerging markets continued in 2014 with significant investments in brand launches, new production facilities and our operations."
Unilever_2014_34,"In a volatile environment consistency of results is key. Our model calls for consistent, competitive, profitable and responsible growth. With 2.9% underlying sales growth, and good profit progress, this is the fifth consecutive year of top and bottom line growth. This was achieved despite a challenging external environment."
Unilever_2014_35,"Our business is growing ahead of our markets with 60% gaining share and we believe this growth is also competitive. The Unilever Sustainable Living Plan (USLP) helps to ensure growth is responsible. The consistency of our delivery is underlined by the fact that our average growth over the last five years is 4.9%, making us one of the most reliable performers in our industry."
Unilever_2014_36,"Very challenging and among the most difficult I can remember. We certainly faced more headwinds than tailwinds. For the first time in many years, for example, we had to confront the reality of largely flat developed markets and markedly slowing emerging markets. Indeed, markets slowed from some 3.5% in 2013 to around 2.5% in 2014."
Unilever_2014_37,"At the same time, the world continued to be rocked by a combination of geopolitical instability and natural, climate-related disasters that have sadly become the norm."
Unilever_2014_38,"All of these add a cost to doing business, which is why we believe that confronting these issues and looking for solutions to them – rather than just being buffeted by events – is the only long-term viable growth model. Agility is equally important in this environment and we have worked hard once again to reduce complexity and evolve the organisational model for speed and efficiency."
Unilever_2014_39,"The ability to deliver results while balancing the needs of our multiple stakeholders. The consistency of our delivery, even in these unusually volatile and uncertain conditions, helps. It reassures me that the fundamental pillars of the business are strong and that we have developed the resilience needed to compete even in the most difficult circumstances."
Unilever_2014_40,"What pleased me specifically was that we were able to take the short-term measures necessary to respond to events – further tightening our belts, for example, and simplifying the organisation through initiatives like Project Half for Growth – while at the same time continuing to invest in the long-term drivers of growth. The launches of some of our biggest brands into new markets – like Omo in the Gulf, Clear in Japan or Lifebuoy in China – were great examples of this."
Unilever_2014_41,"We also made a number of strategic acquisitions over the year to help strengthen our portfolio further: the Talenti super premium ice cream business in North America, for example, and the Qinyuan water purification business in China, both take us into some attractive segments of the market."
Unilever_2014_42,"I was equally delighted by the progress we made during 2014 in increasing our proportion of female managers. There is much still to do, but beating our stretching targets and ending the year with women representing 43.3% of all managers was a great achievement and a real sign of the commitment felt across Unilever to make progress in this area. Finally we have made further progress on sustainable sourcing, decoupling growth from environmental impact and increasing positive social impact throughout our value chain. This has further enhanced our corporate reputation and lowered risk and costs."
Unilever_2014_43,"Weakening consumer demand certainly impacted our underlying sales growth yet it provided a great opportunity to accelerate our efficiency effort. Growth was therefore profitable, with an improvement in core operating margin of 0.4 percentage points, driven by strong savings programmes. Tight control of working capital contributed to another year of healthy cash flow delivery (more than €3.1 billion) which – combined with the improvement in operating margin – contributed to earnings per share (EPS) growth of 2% (or 11% adjusted for currency impact)."
Unilever_2014_44,"We continued to reshape our portfolio in 2014 to ensure resources are best utilised for growth. In June we sold the Ragu and Bertolli pasta sauces business in North America for approximately US $2.15 billion. We invested capital in growth opportunities by acquiring a majority stake in the Qinyuan Group, a leading Chinese water purification business. This doubled our size in this sector, addressing a fast-growing consumer need and furthering our aim to grow our business sustainably."
Unilever_2014_45,"Even though we have made significant strides over recent years in improving our organisational agility and our ability to respond quickly to events, there is still room for improvement. I would like to have seen us react a little quicker, for example, to the slowdown in a number of markets, particularly China, where frankly we were caught off-guard by the speed and scale of weakening consumer demand. In terms of our categories, all of them contributed – albeit in different ways – to the overall performance of the Group and I have confidence in the strength and long-term growth potential of our portfolio."
Unilever_2014_46,"We took steps last year to sharpen the portfolio even further with a number of strategic acquisitions and disposal of non-core brands, although there is always scope to do more and I would like to see the level of activity accelerate in the year ahead. It is also clear that we still need to do more to get our Foods category growing again, although we are winning market share."
Unilever_2014_47,"This is a tough business to be in – with much of our portfolio in flat or even declining developed markets – but we have to do more to leverage the strength of our wonderful Foods brands and bring back the growth momentum. By contrast, while our Home Care and Refreshment categories delivered good or solid growth, we need to increase the levels of cash and profitability if we are to invest in the many growth opportunities. These will all be priorities in 2015."
Unilever_2014_48,"Meeting the diverse interests of multiple stakeholders is a challenge for a company of Unilever’s size but also a great opportunity given our Vision to grow in a sustainable and socially inclusive way. Once again, we made good progress."
Unilever_2014_49,"There is no doubt that over the long term our investors have benefited from their continued belief in Unilever, with total shareholder return increasing by a further 18% in 2014. Our employees remain a key priority of course and, despite the constrained economic environment, we did not compromise on our investments in training, personal development, safety and other employee support programmes. It was heartening to see employee engagement scores remain at historically high levels in our annual Global People Survey (GPS), with improvements across all five metrics."
Unilever_2014_50,"It is also clear that the demand to join Unilever has never been greater. We received over 2 million applications or expressions of interest in 2014 and for the second year running Unilever was ranked the third most in-demand employer among jobseekers on LinkedIn, behind only Apple and Google, as more and more young people want to work for purpose-driven organisations."
Unilever_2014_51,"We also made progress in our commitment to serve a wider group of stakeholders through the USLP and our Vision of growing the business while reducing our environmental footprint and increasing our positive social impact, not only in that part of the business under our direct control but throughout the whole value chain. This manifests itself in many different ways – everything from playing our part in putting an end to deforestation to ensuring we embrace and advance human rights principles throughout the length of our supply chain. You can see a number of examples set out in other parts of this report."
Unilever_2014_52,"It was pleasing to see our efforts recognised once again in 2014, including regaining sector leadership in the prestigious Dow Jones Sustainability Index (DJSI) and being ranked – for the fourth year running – as the Number One Company in the Globescan/SustainAbility index of leading sustainability experts around the world."
Unilever_2014_53,"Unilever’s strategic commitment to emerging markets continued in 2014 with significant investments in brand launches, new production facilities and our operations."
Unilever_2014_54,We undertook major launches of brands including Lifebuoy into China and Omo into Saudi Arabia and the Gulf region. Brazil saw the entry of the Baby Dove range and Omo stain removers.
Unilever_2014_55,"In China we undertook large capital expenditure, building a new dry savoury plant and a new washing powder factory. In Indonesia, large-scale capital investment was made in Siliwangi, creating a plant for Cikarang Foods, adding significant capacity to dry and wet savoury production. In the Philippines a new dry savoury factory was built. Detergent and ice cream factories were built in Africa."
Unilever_2014_56,"We are extending our distribution reach in the outer islands of Indonesia, rural India and the north and central west of Brazil, while Singapore continues to be a major hub for our development of Unilever people at our Four Acres training campus."
Unilever_2014_57,Operating in an environment of almost unprecedented volatility and complexity will remain a big challenge for everyone. Few people predicted that in 2014 we would see such a sharp slowdown in some of the major world economies or the escalation of geopolitical conflicts or the outbreak of pandemics like Ebola and oil prices ending the year at less than US $50 a barrel. We must be prepared for a similarly unpredictable year in 2015.
Unilever_2014_58,"The key is to have a model that responds to peopleâ€™s needs and concerns, and an organisation that is both resilient and agile in the face of growing economic and geopolitical uncertainty. We achieved that again in 2014 and I want to thank â€“ and recognise â€“ the supreme efforts of our 172,000 colleagues and the many more partners around the world."
Unilever_2014_59,"We expect the economic pressures to continue. Consumer demand in emerging markets is likely to remain subdued for some time to come. There is still little sign of a recovery in Europe and, while conditions in North America have improved, any increase in consumer demand is likely to be slow and shoppers will remain focused on value."
Unilever_2014_60,"We are also prepared for managing any continuing volatility on the worldâ€™s currency markets and for what could be fluctuations in commodity costs as a result of the reduction in oil prices. At the same time, we expect the levels of competitive activity â€“ both from global competitors and, increasingly, from local players â€“ to remain high in 2015."
Unilever_2014_61,"Unilever’s portfolio has four categories: Personal Care, Foods, Refreshment and Home Care. We have 13 brands with sales of more than €1 billion. Brands are our biggest asset but also present a risk if they do not maintain value and relevance to consumers. That’s why innovation and remaining competitive are crucial. We launched new brands in 2014, backed by marketing and customer insight, for example Regenerate, a dental care product. In addition to the Qinyuan and Talenti Gelato & Sorbetto acquisitions, we are also in the process of acquiring the Camay and Zest brands, to expand categories and boost growth. To sharpen our portfolio in 2014 we disposed of Slim.Fast, Ragu and Bertolli in North America, and other non-core Foods brands."
Unilever_2014_62,"Unilever’s products sell in more than 190 countries and are used by 2 billion consumers every day. Our business is organised across three geographies: the Americas; Europe; and markets comprising Asia, Australasia, Africa, Middle East, Turkey, Russia, Ukraine and Belarus. We also analyse operations by developed and emerging markets. This wide spread exposes us to economic and political risks beyond our control. However, the diversity of our portfolio and geographic reach help mitigate our exposure to any specific risk."
Unilever_2014_63,"We cannot achieve our Vision to double our size unless we find new ways to operate that decouple growth from our environmental impact, while using growth as an enabler for positive social impact. Launched in 2010, the Unilever Sustainable Living Plan (USLP) is our blueprint for sustainable growth. It is helping to drive profitable growth for our brands, save costs and fuel innovation."
Unilever_2014_64,"The USLP sets out three big, ambitious goals. Underpinning these goals are nine commitments supported by targets spanning our social and environmental performance."
Unilever_2014_65,"We are making good progress with our first goal: to help more than a billion people improve their health and well-being by 2020, reaching 397 million by the end of 2014. The progress on our second goal is more mixed. We have achieved zero non-hazardous waste to landfill from our factories, and continue to make significant reductions in the greenhouse gas (GHG) IMPROVING HEALTH AND WELL-BEING and water impacts of our manufacturing. But the consumer element of our target to halve the water and GHG impacts of our products remains a challenge. On waste reduction, new technology such as the roll-out of compressed deodorant sprays and our new Dove Body Wash bottles has enabled reductions. On our third goal, we are also making good progress. We are now sourcing more than half our agricultural raw materials sustainably and have reached around 800,000 smallholder farmers with help and training. We have created 70,000 women micro-entrepreneurs distributing our products in India while making progress on our new commitments to enhance livelihoods across the value chain."
Unilever_2014_66,"The market is characterised by high levels of competition between brands and FMCG companies are among the world’s biggest advertisers, accounting for about a fifth of all advertising expenditure."
Unilever_2014_67,Levels of consumer confidence are critical to the FMCG market. Confidence has benefited from governments and central banks around the world engaging in various economic support programmes since the 2008 financial crisis.
Unilever_2014_68,"But in 2014 the major trend in global consumption patterns was a marked slowdown, evidenced by a fall in growth rates in emerging economies, notably China, which is now growing at its slowest rate for five years, and Brazil, which is in recession."
Unilever_2014_69,"Inflation and a rising cost of living have squeezed consumers in emerging markets, while economies only narrowly missed falling back into recession in Europe. A small number of major markets, such as the US and UK, saw better levels of economic activity but the outlook for consumer confidence remains weak."
Unilever_2014_70,The FMCG market is also sensitive to geopolitical events which can hold back growth such as the current situation in Russia and Ukraine where sanctions and political tensions are having an impact on the market.
Unilever_2014_71,"A further area of exposure is raw material and commodity prices, which drive the industry’s cost base. Across many emerging markets, devaluing currencies have imported inflation into local raw material production"
Unilever_2014_72,"E-commerce, driven by the rapid take-up of smartphones and tablets, is an increasingly significant distribution channel. In the retail market, FMCG e-commerce sales are growing and account for 1.2% of total sales, although on current trends this is expected to double to 2.4% by 2020."
Unilever_2014_73,"Online shoppers can be up to 25% more loyal, while e-commerce also offers FMCG companies the opportunity of round-the-clock shopping, access to new consumers, improved margins and easier product launches."
Unilever_2014_74,"Some of the largest FMCG companies, along with Unilever, include: Nestlé, Procter & Gamble, L’Oréal, Danone, Kraft Foods and Colgate-Palmolive. All have identified emerging markets as a major growth opportunity in years to come."
Unilever_2014_75,"Of growing influence in the FMCG markets are discount stores which are providing fierce competition to the incumbent supermarket chains, most notably in the US and Europe."
Unilever_2014_76,The FMCG market is driven in part by global population trends and demographic changes within countries.
Unilever_2014_77,"World population is expected to rise to 8 billion by 2025 and, by then, more than 4 billion will be part of the ‘consuming class’. For the first time the number of people with discretionary income will exceed the number struggling to meet basic needs – a trend described by management consultancy McKinsey as possibly the biggest opportunity in the history of capitalism."
Unilever_2014_78,Population growth also places a strain on the world’s natural resources – the raw materials that the FMCG industry relies on to make its products.
Unilever_2014_79,"FMCG companies are among the world’s largest buyers of commodities such as agricultural products, natural oils and fats, coffee, tea, paper and board."
Unilever_2014_80,"Cultivation of commodities such as palm oil has contributed to deforestation which has been a major factor behind climate change. This in turn has reduced the availability of raw materials, increasing their price and FMCG production costs."
Unilever_2014_81,"While the world population grew fourfold in the 20th century, fresh water withdrawals grew nine times – which highlights the threat of water scarcity to the economic production and consumption of consumer goods."
Unilever_2014_82,Numerous initiatives are under way led by industry working in partnership with governments and NGOs to place raw material production on a sustainable footing.
Unilever_2014_83,"Meanwhile, consumer trends are also shifting towards responsible consumption, and products defined or labelled as natural, organic, ecological or fairly traded."
Unilever_2014_84,Boston Consulting Group estimates that two thirds of the US grocery sector market growth comes from the responsible consumption of products which are now worth US $400 billion.
Unilever_2014_85,"The segment has grown about 9% a year over the past three years and, in the UK, Fairtrade products grew at 14% in 2013 versus overall growth of food spending of less than 5.1%."
Unilever_2014_86,FMCG product development is also reacting to consumers’ concerns about their own health and well-being.
Unilever_2014_87,"Malnutrition – under and over nutrition – is an issue affecting the industry in both emerging and developed markets. This is creating a trend toward the manufacture of healthier food products, which either have fortified ingredients to improve dietary quality or 
address other dietary-related complaints such as unhealthy cholesterol levels."
Unilever_2014_88,"Initiatives such as the UN’s new Sustainable Development Goals also have implications for the industry. Governments in emerging markets, such as India, have made commitments to universal sanitation to improve health and hygiene which will drive increased use of personal and household care products."
Unilever_2014_89,"Women play a pivotal role in the FMCG market, controlling the majority of purchasing decisions. The promotion of women’s rights and opportunities has clear long-term implications for the FMCG market in terms of product development and innovation. Significant developments such as the UN’s new Sustainable Development Goals are expected to accelerate these opportunities."
Unilever_2014_90,"FMCG advertising is rapidly migrating to digital platforms, driven by the take-up of smartphones and tablets. Global digital advertising is estimated at US $137.5 billion, or a quarter of total advertising spend."
Unilever_2014_91,"The trend is being driven in developed and also emerging markets where mobile phones are proving to be one of the most effective ways of delivering advertising to individuals, particularly in the most remote rural locations. For instance, large parts of rural India have no, or very limited, access to television, print or radio. However, mobile phone penetration and usage is high. As a result, Unilever has launched Kan Khajura Mobile Radio Station in India, which delivers radio content to mobile phones through the simple mechanism 
of giving a missed call."
Unilever_2014_92,"This mobile channel provides content including Bollywood movie songs, dialogues and jokes that can be accessed for free by the mobile user. The content is interspersed with Unilever brand advertising. Data and analytics are extensively used to vary content to make it relevant and interesting. The channel reaches approximately 10 million people without a TV in Bihar and Jharkhand states, making it one of the largest media channels in these regions. The channel had 29.5 million users by the end of December 2014, helping increase spontaneous awareness of Unilever brands."
Unilever_2014_93,"Our business model starts with our core Purpose which is a clear expression of what we believe to be the best long-term way for Unilever to grow. It is a simple Purpose to help us meet changing consumer preferences and the challenges of a volatile, uncertain, complex and ambiguous world."
Unilever_2014_94,"Our business model works by combining three key inputs and filtering them through the lens of the Unilever Sustainable Living Plan (USLP). Our brands have significant value and succeed through products that meet the needs of consumers. Our people identify social and consumer needs to grow our brands, market them and manufacture and distribute them. Our operations are the essential supply chain functions and assets of raw material supply, factories, logistics, go-to-market expertise and marketing. We invest financial capital to support all these assets and activities."
Unilever_2014_95,Unilever aims for a virtuous circle of growth. Profitable volume growth is driven by investment in innovation and brands to deliver products which 2 billion consumers use every day. We can leverage this scale to spread fixed costs and improve profitability while further investing in the business. This investment funds R&D and innovation to create new and improved products backed by marketing to create even stronger brands. This drives profitable volume growth and the virtuous circle continues.
Unilever_2014_96,"In 2014 many consumers have faced tough conditions as economic uncertainty has held back growth around the world, both in the developed markets and in emerging markets. Meanwhile consumption continues to be linked to many of the world’s biggest problems – deforestation, climate change, water scarcity, malnutrition and unhealthy diets."
Unilever_2014_97,"However, each of our categories continues to innovate to meet the challenges posed by these trends and changing consumer preferences, such as products that are sustainably sourced. Whether it’s laundry products which use less water or compressed cans for deodorant packaging with 25% less aluminium, consumers are reacting positively to our innovations."
